#  an         x(")        x_er(")     y(")        y_er(")    UT1-TAI(s)  UT1_er(s)     dX(")       dX_er(")    dY(")       dY_er(")
   1907.40   -0.018274    0.016878   -0.015169    0.016663  99.9900000  99.9900000   -0.091109    0.000000   -0.018999    0.000000
   1907.45   -0.007139    0.015864   -0.040965    0.017096  99.9900000  99.9900000   -0.090398    0.000000   -0.019316    0.000000
   1907.50   -0.041846    0.014405   -0.054266    0.013670  99.9900000  99.9900000   -0.089273    0.000000   -0.019480    0.000000
   1907.55   -0.039595    0.013423   -0.066695    0.013739  99.9900000  99.9900000   -0.087943    0.000000   -0.019432    0.000000
   1907.60   -0.062705    0.013804   -0.045598    0.013720  99.9900000  99.9900000   -0.087113    0.000000   -0.019362    0.000000
   1907.65   -0.084805    0.012081   -0.037982    0.012719  99.9900000  99.9900000   -0.086469    0.000000   -0.019655    0.000000
   1907.70   -0.117702    0.012937   -0.015019    0.013833  99.9900000  99.9900000   -0.086487    0.000000   -0.019790    0.000000
   1907.75   -0.156776    0.015289    0.021300    0.013670  99.9900000  99.9900000   -0.086904    0.000000   -0.020515    0.000000
   1907.80   -0.189024    0.018050    0.063248    0.014974  99.9900000  99.9900000   -0.087564    0.000000   -0.021193    0.000000
   1907.85   -0.160467    0.019450    0.122360    0.020617  99.9900000  99.9900000   -0.088267    0.000000   -0.022251    0.000000
   1907.90   -0.174350    0.021262    0.161459    0.016968  99.9900000  99.9900000   -0.088822    0.000000   -0.023025    0.000000
   1907.95   -0.175602    0.024544    0.206626    0.023984  99.9900000  99.9900000   -0.089135    0.000000   -0.023635    0.000000
   1908.00   -0.097350    0.020961    0.248605    0.019242  99.9900000  99.9900000   -0.089362    0.000000   -0.023832    0.000000
   1908.05   -0.103272    0.023340    0.239523    0.021688  99.9900000  99.9900000   -0.089595    0.000000   -0.023785    0.000000
   1908.10   -0.059141    0.021130    0.273695    0.020813  99.9900000  99.9900000   -0.089724    0.000000   -0.023298    0.000000
   1908.15    0.009726    0.021140    0.247671    0.016433  99.9900000  99.9900000   -0.089896    0.000000   -0.022374    0.000000
   1908.20    0.090269    0.026744    0.235714    0.018505  99.9900000  99.9900000   -0.090285    0.000000   -0.021387    0.000000
   1908.25    0.080867    0.018235    0.218245    0.021372  99.9900000  99.9900000   -0.090601    0.000000   -0.020681    0.000000
   1908.30    0.155761    0.018794    0.162109    0.016714  99.9900000  99.9900000   -0.090849    0.000000   -0.020151    0.000000
   1908.35    0.153088    0.016737    0.112494    0.018825  99.9900000  99.9900000   -0.090777    0.000000   -0.019930    0.000000
   1908.40    0.173999    0.016323    0.039762    0.016377  99.9900000  99.9900000   -0.090373    0.000000   -0.019945    0.000000
   1908.45    0.193455    0.015330    0.020762    0.015658  99.9900000  99.9900000   -0.089538    0.000000   -0.020145    0.000000
   1908.50    0.183436    0.014044   -0.054422    0.015259  99.9900000  99.9900000   -0.088394    0.000000   -0.020209    0.000000
   1908.55    0.151227    0.015401   -0.109336    0.015739  99.9900000  99.9900000   -0.087304    0.000000   -0.020166    0.000000
   1908.60    0.107900    0.014253   -0.142561    0.017722  99.9900000  99.9900000   -0.086378    0.000000   -0.020131    0.000000
   1908.65    0.055417    0.013924   -0.182154    0.015617  99.9900000  99.9900000   -0.086025    0.000000   -0.020301    0.000000
   1908.70   -0.006804    0.014573   -0.171785    0.013946  99.9900000  99.9900000   -0.085903    0.000000   -0.020802    0.000000
   1908.75   -0.062119    0.013913   -0.178738    0.014407  99.9900000  99.9900000   -0.086421    0.000000   -0.021294    0.000000
   1908.80   -0.121189    0.013588   -0.143228    0.015109  99.9900000  99.9900000   -0.087060    0.000000   -0.022108    0.000000
   1908.85   -0.198858    0.020552   -0.118753    0.017931  99.9900000  99.9900000   -0.087802    0.000000   -0.023153    0.000000
   1908.90   -0.257303    0.018707   -0.059742    0.017970  99.9900000  99.9900000   -0.088432    0.000000   -0.023897    0.000000
   1908.95   -0.280155    0.025857   -0.002832    0.018203  99.9900000  99.9900000   -0.088874    0.000000   -0.024502    0.000000
   1909.00   -0.308595    0.026386    0.086951    0.022224  99.9900000  99.9900000   -0.089130    0.000000   -0.024708    0.000000
   1909.05   -0.341628    0.019597    0.134833    0.020705  99.9900000  99.9900000   -0.089294    0.000000   -0.024555    0.000000
   1909.10   -0.251363    0.031083    0.177510    0.021243  99.9900000  99.9900000   -0.089417    0.000000   -0.024098    0.000000
   1909.15   -0.246489    0.026748    0.259103    0.023852  99.9900000  99.9900000   -0.089598    0.000000   -0.023113    0.000000
   1909.20   -0.210302    0.025755    0.316683    0.021167  99.9900000  99.9900000   -0.089973    0.000000   -0.022138    0.000000
   1909.25   -0.111996    0.020248    0.334617    0.014937  99.9900000  99.9900000   -0.090321    0.000000   -0.021432    0.000000
   1909.30   -0.048984    0.016900    0.365464    0.016351  99.9900000  99.9900000   -0.090599    0.000000   -0.020852    0.000000
   1909.35    0.031767    0.016586    0.354452    0.015841  99.9900000  99.9900000   -0.090477    0.000000   -0.020648    0.000000
   1909.40    0.150501    0.017706    0.322983    0.018760  99.9900000  99.9900000   -0.089977    0.000000   -0.020546    0.000000
   1909.45    0.204085    0.015511    0.289682    0.016422  99.9900000  99.9900000   -0.089153    0.000000   -0.020827    0.000000
   1909.50    0.260635    0.016202    0.206499    0.015492  99.9900000  99.9900000   -0.087860    0.000000   -0.020868    0.000000
   1909.55    0.287882    0.013788    0.107907    0.015218  99.9900000  99.9900000   -0.086787    0.000000   -0.020785    0.000000
   1909.60    0.317580    0.014354    0.078524    0.016305  99.9900000  99.9900000   -0.085895    0.000000   -0.020756    0.000000
   1909.65    0.297733    0.016013   -0.000190    0.016587  99.9900000  99.9900000   -0.085557    0.000000   -0.021026    0.000000
   1909.70    0.230481    0.020031   -0.081282    0.016222  99.9900000  99.9900000   -0.085555    0.000000   -0.021378    0.000000
   1909.75    0.189366    0.017799   -0.138518    0.014604  99.9900000  99.9900000   -0.085931    0.000000   -0.021775    0.000000
   1909.80    0.086854    0.016830   -0.192017    0.016195  99.9900000  99.9900000   -0.086643    0.000000   -0.022598    0.000000
   1909.85    0.011900    0.025046   -0.230771    0.018869  99.9900000  99.9900000   -0.087429    0.000000   -0.023446    0.000000
   1909.90   -0.099773    0.019593   -0.198987    0.015523  99.9900000  99.9900000   -0.088048    0.000000   -0.024377    0.000000
   1909.95   -0.183723    0.019606   -0.173314    0.021467  99.9900000  99.9900000   -0.088557    0.000000   -0.024984    0.000000
   1910.00   -0.230096    0.017879   -0.132308    0.023836  99.9900000  99.9900000   -0.088758    0.000000   -0.025204    0.000000
   1910.05   -0.309050    0.024313   -0.077620    0.022971  99.9900000  99.9900000   -0.088889    0.000000   -0.025119    0.000000
   1910.10   -0.333658    0.029328   -0.017650    0.021883  99.9900000  99.9900000   -0.088973    0.000000   -0.024515    0.000000
   1910.15   -0.330232    0.018676    0.092950    0.021533  99.9900000  99.9900000   -0.089207    0.000000   -0.023689    0.000000
   1910.20   -0.355056    0.020036    0.105245    0.017385  99.9900000  99.9900000   -0.089493    0.000000   -0.022561    0.000000
   1910.25   -0.347436    0.018223    0.227473    0.020880  99.9900000  99.9900000   -0.090073    0.000000   -0.021811    0.000000
   1910.30   -0.310538    0.015627    0.324072    0.017842  99.9900000  99.9900000   -0.090165    0.000000   -0.021180    0.000000
   1910.35   -0.214805    0.017849    0.362024    0.017200  99.9900000  99.9900000   -0.090152    0.000000   -0.020700    0.000000
   1910.40   -0.110997    0.024307    0.383605    0.022435  99.9900000  99.9900000   -0.089796    0.000000   -0.020688    0.000000
   1910.45   -0.041822    0.017913    0.411900    0.019909  99.9900000  99.9900000   -0.088888    0.000000   -0.020748    0.000000
   1910.50    0.080247    0.014925    0.428786    0.018870  99.9900000  99.9900000   -0.087753    0.000000   -0.021109    0.000000
   1910.55    0.180620    0.015937    0.392733    0.016705  99.9900000  99.9900000   -0.086600    0.000000   -0.021140    0.000000
   1910.60    0.248585    0.015735    0.340602    0.017808  99.9900000  99.9900000   -0.085762    0.000000   -0.021156    0.000000
   1910.65    0.297423    0.022549    0.263062    0.020171  99.9900000  99.9900000   -0.085270    0.000000   -0.021282    0.000000
   1910.70    0.312777    0.016770    0.157866    0.017293  99.9900000  99.9900000   -0.085300    0.000000   -0.021606    0.000000
   1910.75    0.310430    0.016239    0.055387    0.017012  99.9900000  99.9900000   -0.085660    0.000000   -0.021978    0.000000
   1910.80    0.286557    0.016682   -0.049482    0.015754  99.9900000  99.9900000   -0.086390    0.000000   -0.022533    0.000000
   1910.85    0.216538    0.020001   -0.064867    0.020207  99.9900000  99.9900000   -0.087276    0.000000   -0.023279    0.000000
   1910.90    0.179089    0.022275   -0.136346    0.023698  99.9900000  99.9900000   -0.087958    0.000000   -0.024411    0.000000
   1910.95    0.072911    0.024667   -0.192532    0.021663  99.9900000  99.9900000   -0.088321    0.000000   -0.024834    0.000000
   1911.00    0.001871    0.025924   -0.195238    0.027219  99.9900000  99.9900000   -0.088618    0.000000   -0.025228    0.000000
   1911.05   -0.135592    0.022579   -0.169132    0.026692  99.9900000  99.9900000   -0.088587    0.000000   -0.025088    0.000000
   1911.10   -0.169885    0.022128   -0.175527    0.019646  99.9900000  99.9900000   -0.088606    0.000000   -0.024609    0.000000
   1911.15   -0.235059    0.026254   -0.100993    0.022493  99.9900000  99.9900000   -0.088819    0.000000   -0.023685    0.000000
   1911.20   -0.269009    0.037124   -0.028735    0.032029  99.9900000  99.9900000   -0.089273    0.000000   -0.022655    0.000000
